task,family,arm,budget,repeat,status,found,candidates_evaluated,search_depth,graph_steps,cpu_seconds,wall_seconds,hidden_checked,hidden_failures,success
products/selected_sum,selected_sum,reuse_ab,150000,1,found,['bench_learned_selected_sum'],7,1,87678,0.28708299999999554,0.28874504199998796,40,0,True
products/selected_sum,selected_sum,reuse_a,150000,1,found,['bench_learned_selected_sum'],7,1,58846,0.24734700000001908,0.24823691699998562,40,0,True
products/selected_sum,selected_sum,reuse_a,450000,0,found,['bench_learned_selected_sum'],7,1,58846,0.23935900000000743,0.24091237499999352,40,0,True
products/selected_sum,selected_sum,reuse_ab,450000,0,found,['bench_learned_selected_sum'],7,1,87678,0.2891559999999913,0.2911782500000015,40,0,True
products/selected_sum,selected_sum,baseline,450000,0,found,"['synth_select', 'synth_sum']",25,2,297140,1.0304870000000221,1.0391617500000052,40,0,True
products/selected_sum,selected_sum,baseline,450000,1,found,"['synth_select', 'synth_sum']",25,2,297140,1.0244959999999992,1.0328572919999885,40,0,True
products/selected_sum,selected_sum,reuse_ab,450000,1,found,['bench_learned_selected_sum'],7,1,87678,0.29547900000000027,0.29935037499998884,40,0,True
products/selected_sum,selected_sum,reuse_a,450000,1,found,['bench_learned_selected_sum'],7,1,58846,0.2510189999999852,0.25292320799999857,40,0,True
products/selected_sum,selected_sum,reuse_a,1350000,0,found,['bench_learned_selected_sum'],7,1,58846,0.2412649999999985,0.24252304199998775,40,0,True
products/selected_sum,selected_sum,reuse_ab,1350000,0,found,['bench_learned_selected_sum'],7,1,87678,0.2846190000000206,0.2862618750000081,40,0,True
products/selected_sum,selected_sum,baseline,1350000,0,found,"['synth_select', 'synth_sum']",25,2,297140,1.1275830000000155,1.1822439579999866,40,0,True
products/selected_sum,selected_sum,baseline,1350000,1,found,"['synth_select', 'synth_sum']",25,2,297140,1.0682540000000245,1.084625625000001,40,0,True
products/selected_sum,selected_sum,reuse_ab,1350000,1,found,['bench_learned_selected_sum'],7,1,87678,0.29444599999999355,0.29764712499999746,40,0,True
products/selected_sum,selected_sum,reuse_a,1350000,1,found,['bench_learned_selected_sum'],7,1,58846,0.2581830000000025,0.261507249999994,40,0,True
products/selected_double_sum,selected_double_sum,reuse_ab,150000,0,found,['bench_learned_doubled_selected_sum'],8,1,106195,0.3707600000000184,0.38488962499999957,40,0,True
